"Species_names","mean_sex_ratio","SD_sex_ratio","mean_humidity_sp","SD_humidity_sp","mean_temp_sp","SD_temp_sp"
"Aldabrachelys gigantea",0.723791650533299,0.393478181550774,0.9,NA,30,NA
"Astrochelys radiata",0.12780112057686,0.214081941420771,NA,NA,29.45,0.635085296108589
"Astrochelys yniphora",0.666666666666667,0.577350269189626,NA,NA,NA,NA
"Batagur affinis",0.691666666966667,0.643162038898153,NA,NA,29.5,2.78388218141501
"Batagur baska",0.486111111060764,0.445528192612237,NA,NA,28.5,2.12132034355964
"Batagur borneoensis",0.69166666629375,0.880250684711892,NA,NA,29.9457142857143,2.16993745795324
"Caretta caretta",1.11203028269399,2.61177015768556,0.930157894736842,0.0590896335690249,29.293431372549,1.77283037297436
"Carettochelys insculpta",0.619777265670691,0.597118900279273,NA,NA,31.0391666666667,1.85733170451755
"Centrochelys sulcata",1.06333333205833,1.31468204594072,NA,NA,30.5,1.58113883008419
"Chelonia mydas",1.36535347164405,15.9746194212076,0.875,0,29.3948138475212,1.67671981902772
"Chelonoidis carbonarius",1.9000000018,3.47131099549579,NA,NA,27.6,2.57584937447825
"Chelonoidis niger",5.249999994125,6.71751441402436,NA,NA,27.5,2.82842712474619
"Chelydra rossignonii",1.17758620554162,2.41857285094372,NA,NA,27.8,1.92353840616713
"Chelydra serpentina",2.18149114365279,7.19252195719342,NA,NA,25.9008014059754,2.61478058169716
"Chersobius signatus",0.4,0.547722557505166,NA,NA,29.25,0.5
"Chitra chitra",1.8750000005625,1.54784796872007,NA,NA,NA,NA
"Chrysemys dorsalis",1.27288546419665,2.53658105543573,NA,NA,27.2125,2.80092246709306
"Chrysemys picta",1.98695589087364,5.17095285824958,NA,NA,27.3828125,2.25834487470516
"Clemmys guttata",6.52525252887879,5.63697908379482,NA,NA,26.0909090909091,2.61551316014833
"Cuora flavomarginata",1.00390572468124,1.39855945029205,NA,NA,27.75,2.21735578260835
"Cuora trifasciata",9.69999981,20.5779003428435,0.875,0,28,2.61406452355969
"Cuora zhoui",0,0,NA,NA,27,0
"Deirochelys reticularia",1.59762329437909,2.8137018246751,NA,NA,27.5,2.46080384337223
"Dermatemys mawii",0.59999999952,0.529150261940784,NA,NA,27.3333333333333,2.08166599946613
"Dermochelys coriacea",0.806419385823596,1.48497954310266,NA,NA,29.2885714285714,1.38948239428998
"Emys blandingii",6.10000001475,12.531959177479,NA,NA,27,3.51781181986757
"Emys marmorata",1.76701641385607,2.92086066198403,NA,NA,28.3433333333333,1.83136041029093
"Emys orbicularis",2.31624234855402,7.78191740727078,0.95,0,28.2139705882353,1.95747088504407
"Eretmochelys imbricata",0.857912312145407,2.45086502866692,NA,NA,29.9395774647887,1.47639177593765
"Erymnochelys madagascariensis",0.333333333333333,NA,NA,NA,NA,NA
"Geochelone elegans",0.49999999925,NA,0.75,NA,31.5,NA
"Geochelone platynota",5.03703703734431,5.60447596896995,NA,NA,29.45,0.777817459305203
"Gopherus agassizii",1.44074506048546,3.77893119860671,1,NA,30.15625,2.97275825903599
"Gopherus polyphemus",0.996942801257815,1.17355129701653,NA,NA,29.7,2.62678510731274
"Graptemys barbouri",0.5,0.577350269189626,NA,NA,28,2.16024689946929
"Graptemys caglei",2.13333333217778,2.10290803645632,NA,NA,28.6,1.71026313764871
"Graptemys geographica",0.520833333263421,0.482776259436905,NA,NA,28,3.15348132140408
"Graptemys nigrinoda",0.5,0.707106781186548,NA,NA,27.5,3.53553390593274
"Graptemys ouachitensis",1.99434111103825,4.86717023635362,NA,NA,28.0444444444444,1.82956832652894
"Graptemys pseudogeographica",1.48603741537556,4.26466408497253,NA,NA,28.35,2.00880636953964
"Graptemys pseudogeographica/ouachitensis",2.77651514953501,3.87269436833167,NA,NA,29,4.24264068711928
"Graptemys pseudogeographica/ouachitensis/geographica",1.56675701831054,2.90926923961757,NA,NA,NA,NA
"Graptemys pulchra",0.333333333333333,0.577350269189626,NA,NA,29,1
"Graptemys versa",2.333333331,3.21455024967205,NA,NA,29,3.60555127546399
"Heosemys depressa",0.2,0.447213595499958,NA,NA,29.22,1.74413302244984
"Heosemys grandis",1.11111110966667,1.9245008947969,NA,NA,27.6666666666667,2.51661147842358
"Homopus femoralis",0.666666666666667,NA,NA,NA,NA,NA
"Kinosternon alamosae",0.583333333208333,0.491596040150515,NA,NA,26.9166666666667,2.76435646519523
"Kinosternon baurii",0.978877800528964,0.945682130115958,NA,NA,26.40625,3.03435193520242
"Kinosternon creaseri",0.510478807385813,0.639199041746147,NA,NA,25.9285714285714,2.28087284879735
"Kinosternon flavescens",2.09456540400129,2.10133572685541,NA,NA,27.7857142857143,2.9135907380775
"Kinosternon hirtipes",0.80000000012,0.370328039686824,NA,NA,26.125,2.93683503111768
"Kinosternon leucostomum",0.724694509750606,0.858598176050051,NA,NA,26.3529411764706,2.51722010535899
"Kinosternon scorpioides",2.85062508972629,4.05266807363196,NA,NA,26.1428571428571,2.49945048905809
"Kinosternon sonoriense",11.4642856531429,13.0770381144585,NA,NA,27.6428571428571,3.17167523708273
"Kinosternon stejnegeri",3.62603481544945,5.16879565030273,NA,NA,28,2.82842712474619
"Kinosternon subrubrum",1.80394142806274,2.14670516799526,NA,NA,25.6923076923077,3.01066480434182
"Lepidochelys kempii",0.731084516235515,1.58034167620466,NA,NA,31.2946428571429,0.732112530021005
"Lepidochelys olivacea",2.13910323983993,7.20874894351206,NA,NA,29.9822857142857,2.3020980798737
"Macrochelys temminckii",0.889641974567269,1.14348053058515,NA,NA,26.6052631578947,2.6277311050094
"Malaclemys terrapin",0.963770438421533,1.90741228446798,1,NA,28.2460784313725,2.50465253353145
"Malacochersus tornieri",0.777777777777778,0.403686713879666,NA,NA,28.7833333333333,2.00041662327293
"Malayemys macrocephala",1.48229190924922,1.28800786113233,0.8,0,29,2.68328157299975
"Manouria emys",0.5,0.577350269189626,NA,NA,27.9625,2.47002530351412
"Manouria impressa",0.666666666666667,0.516397779494322,NA,NA,26.8416666666667,1.31621300201247
"Mauremys annamensis",0.70000000008,0.469041575880007,NA,NA,27.1666666666667,2.31660671385254
"Mauremys japonica",0.918181818525227,0.562260050613462,0.9,0,26.5,2.73861278752583
"Mauremys mutica",2.12601066190033,2.81414399555379,NA,NA,27.8333333333333,2.69117525301201
"Mauremys nigricans",0.666666666666667,0.577350269189626,NA,NA,27.3333333333333,2.51661147842358
"Mauremys reevesii",3.79677668592614,7.66134722984597,0.82,0,28.4365517241379,2.53415423459762
"Mauremys sinensis",1.73333333223333,2.33809038677864,NA,NA,28.8333333333333,3.06050104830347
"Melanochelys trijuga",0.614581903078183,0.652153301467073,NA,NA,26.9,2.17673650637412
"Natator depressus",0.699730270828658,0.693078971544108,NA,NA,29.5536507936508,1.20739198672012
"Pelomedusa subrufa",0.992619046747266,2.30358328067613,NA,NA,29.15,3.39155297451586
"Peltocephalus dumerilianus",2.71212121650827,1.94990052732151,NA,NA,30.16,NA
"Pelusios broadleyi",2.04887218045113,3.32824625486464,NA,NA,29,2.34520787991171
"Pelusios castaneus",1.16666666855555,2.33333333711111,NA,NA,28.75,3.5
"Podocnemis erythrocephala",0.76973684212552,0.26783130954168,NA,NA,28.645,1.63341666454093
"Podocnemis expansa",2.61227803538271,5.40759421708885,0.905573333333333,0.0366643614426871,32.2548253968254,2.22445853172061
"Podocnemis lewyana",1.51828617799707,3.82796522264426,NA,NA,32.35,1.97512306227007
"Podocnemis sextuberculata",4.5806519247112,9.95658985682578,NA,NA,31.26,1.18025420990565
"Podocnemis unifilis",1.99052325450735,2.57405418283264,NA,NA,30.3464285714286,1.60461198322982
"Pseudemys concinna",1.87458333584378,3.28849507614582,NA,NA,27.2157894736842,3.07702294034975
"Pseudemys floridana",3.12121212232218,5.4866061141641,NA,NA,27.7142857142857,2.1380899352994
"Pseudemys nelsoni",0.905303029511364,0.935015454417794,NA,NA,28.5,1.29099444873581
"Pseudemys texana",0.555555555555556,0.509175077217316,NA,NA,29.3333333333333,1.52752523165195
"Pyxis planicauda",1.14285714285714,1.87522892375398,0.85,0,28.5,NA
"Rhinoclemmys areolata",2.16666666555952,2.99536679117841,NA,NA,27,2.44948974278318
"Rhinoclemmys pulcherrima",0.833333333333333,0.333333333333334,NA,NA,26.5,2.64575131106459
"Sternotherus carinatus",1.26363636493455,2.45194728102521,NA,NA,26.5454545454545,2.65004288129971
"Sternotherus minor",0.61182890956965,1.26282425631759,NA,NA,26.6764705882353,3.25931921798186
"Sternotherus odoratus",2.94349892316362,6.12141613102118,NA,NA,26.2869565217391,2.97707976926537
"Stigmochelys pardalis",1.66666666666667,3.13707982704773,NA,NA,29.39375,1.26954364691749
"Terrapene carolina",5.25143859249255,7.02996777094565,NA,NA,26.24,2.85087705802969
"Terrapene ornata",0.6,0.547722557505166,NA,NA,25.4,3.52491134640291
"Testudo graeca",6.850000061425,12.5103539106151,0.8,0,29.6125,2.1989851555401
"Testudo hermanni",1.07855869608355,1.58487818557427,NA,NA,29.5,3.42782730020052
"Testudo kleinmanni",1,NA,NA,NA,30,NA
"Trachemys callirostris",0.324924242402642,0.508692146330788,NA,NA,30.425,1.49080515158756
"Trachemys decorata",0.666666667166667,0.816496581907522,NA,NA,28.1666666666667,2.85773803324704
"Trachemys dorbigni",0.707317073170732,0.460646417495262,NA,NA,NA,NA
"Trachemys scripta",1.14736618090843,2.68509748486416,0.796875,0.038595120589698,28.3487521663778,1.42263528303684
"Trachemys venusta",0.735897436539884,1.08305956829574,NA,NA,28.3444444444444,1.71180541469461
